### RUN hnsw_fashion_M16
hnswlib: build n=60000 d=784 M=16 efC=200  5.5s (10 threads)

     ef  recall@10  dist/query         QPS     hops
     10     0.9312         290       70629       19
     12     0.9485         322       64376       21
     15     0.9652         372       58954       23
     20     0.9795         456       50289       28
     30     0.9909         625       39534       38
     50     0.9965         967       28822       58
     80     0.9986        1479       21504       88
    120     0.9991        2157       16740      128
### END
### RUN hnsw_sift_M16
hnswlib: build n=1000000 d=128 M=16 efC=200  59.5s (10 threads)

     ef  recall@10  dist/query         QPS     hops
     10     0.7084         436      146160       23
     12     0.7454         481      131397       25
     15     0.7886         547      115023       28
     20     0.8366         655       96030       33
     30     0.8938         870       72311       42
     50     0.9456        1307       49509       61
     80     0.9747        1975       33871       91
    120     0.9870        2874       24262      130
### END
### RUN hnsw_gist_M32
